姓名	用户ID	性别	身份证号		电话号码	余额	密码
萧炎	1001	男	450103199403150935	15265179610	588.45	1001
韩立	1002	男	450110200511249851	18308583097	248.01	1002
林动	1003	男	450110199910062554	18875971834	389.56	1003
历飞雨	1004	男	45012520120411207X	18409732085	11.80	1004
石昊	1005	男	45012520140811865X	18458871043	831.67	1005
唐三	1006	男	450105200102127131	13608248506	625.12	1006
路明非	1007	男	450103200008279638	13704378380	102.76	1007
路鸣泽	1008	男	450103199808129093	13742285683	328.22	1008
墨彩环	1009	女	450109200207115343	15229881781	659.31	1009
陈巧倩	1010	女	450109200207129083	13983942055	87.30	1010
元瑶	1011	女	450105200102261824	13725583076	55.87	1011
南宫婉	1012	女	450102199808059586	13415786215	43.12	1012
甘如霜	1013	女	450102199804268567	17849781437	646.87	1013
楚子航	1014	男	450109200206155394	19849761659	463.38	1014
周紫陌	1015	女	450108200005135729	13524119629	539.24	1015
王林	1016	男	450108200002151352	17848855285	189.32	1016
许青	1017	男	450108201008246090	17803636741	61.82	1017
罗峰	1018	男	450107200907188911	13454848601	768.16	1018
李青侯	1019	男	450107196909278970	18415731178	968.87	1019
苏尚宇	1021	男	450103200403157657	18593943732	146.00	1111
王佳伟	1022	女	45010319930105650X	13345078984	100.00	1234
